a	the
hőmérséklet	temperature
megvalósítani	achieve
kérlek	please
köré	around
tájékoztató	informative
energiát	power
alkalmazásával	using
svéd	Swedish
kezeli	treats
töltötte	spent
műve	operations
dupla	double
csapatot	team
időpontja	Date
magazin	magazine
félév	half-year
követelmények	requirements
mobilodra	Cell Phone
városok	towns
karaván	caravan
reklám	advertising
kapcsolódó	related
péntek	Friday
iraki	Iraqi
közlekedés	transport
jelentenek	mean
nyújtó	offering
akárcsak	even
művek	works
ülésen	session
lépést	steps
zajlott	It took place
ajánlani	offered
találkoztam	I met
fáj	species
korán	early
ideiglenes	temporary
utak	roads
állomány	staff
anyja	mother
tervezés	design
tanulmányok	studies
legjelentősebb	most important
helyette	instead
tűnő	looking
egyszerűen	simply
szólni	speak
időm	time
szavazni	to vote
nevek	names
eszébe	remember
jónak	good
határozottan	firmly
termelés	production
lehetőségeit	the possibilities
segítség	help
kezébe	hands
kezdetben	initially
Amerikában	America
vonatkozásában	respect
félig	half
enni	to eat
böngésző	Browser
minősül	is considered
számítógépek	Computers
hadsereg	army
felelősség	responsibility
feladó	sender
csekély	slight
ismerte	described
címszó	keyword
folytán	Due to
tőlünk	us
teljesítményt	performance
kortárs	contemporary
tartalmazzák	included
részletek	details
használat	use
hangzott	It sounded
fizetett	paid
katonák	soldiers
sebesség	speed
tagállamok	Member States
államtitkár	under-secretary
azon	is your
kiadvány	publication
fáradt	weary
beállítások	Settings
varázspont	Magic point
állítják	claim
nyilatkozott	said
éppúgy	as well
HUF	HUF
rendelkezés	provisions
szóbeli	oral
házat	house
logikai	Logic
világa	World
fórumhoz	forum
tanfolyamot	training course
üveg	glass
járok	I go
beszélünk	we are talking about
érteni	read
előbbi	former
előfordulhat	may
amelyeknek	which
képezik	are
befektetési	Investment
református	reformed
KDE	KDE
róluk	them
ókori	ancient
hat	six
érvek	arguments
elemzése	Analyze
jelenet	scene
vízben	water
szülő	parent
használati	User
adminisztrátorral	administrator
választható	optional
oszt	divide
literes	l
látok	I see
szebb	beautiful
RTL	RTL
rugalmas	flexible
megszűnt	discontinued
fórum	forum
útját	the way
színvonalú	quality
vmi	sg
szolgálati	service
melyik	which
jármű	vehicle
készülékek	Devices
csillagok	stars
megteheted	you can do
gyereket	children
napjainkban	nowadays
kategória	category
értékeket	values
lábát	leg
híján	almost
megoldása	Solving
szeretek	love
kiadta	released
formák	shapes
szervezők	organizers
nyilvánosság	public
emelkedik	rise
meghaladó	more than
egyelőre	for the time being
császár	emperor
Pécs	Pécs
alkotás	creation
szerveren	a server
akkoriban	then
azzal	with
amelyekben	where
pici	wee
illegális	illegal
változatos	varied
kar	arm
hozzászólásokat	posts
derült	clear
NATO	NATO
kovács	blacksmith
félelem	fear
csatlakozó	jack
megállapodást	Agreement
technológiák	Technologies
közhasznú	non-profit
fejlesztő	developer
PHP	PHP
megelőzően	before
tudná	Could you
okokból	reasons
minősége	The quality
viccet	joke
hívta	called
helyezi	places
előfordul	occur
egyszemélyes	one-man
tőke	capital
merre	whereabouts
világában	World
egész	whole
elolvasni	read
érettségi	graduation
érdekli	about
város	city
egyszeri	single
irányító	governing
tartozott	included
társaságok	Companies
iskolába	school
magamnak	myself
büszke	proud
ismerete	Knowledge
igen	yes
ajtót	door
tantárgy	subject
felmerülő	emerging
értékelő	evaluating
légy	fly
vírus	virus
települési	settlement
erejét	power
optimális	optimum
figyelembevételével	taking into account
istent	god
hosszú	long
figyelni	watch
életbe	life
sorrendben	order
törvényi	laws
pontjában	of
élek	I live in
hivatkozva	Referring to
közreműködésével	co-operation
azonosító	identification
hónapig	months
foglal	deal
jöttem	I came
kézi	hand
réteg	layer
vitát	debate
megéri	worth it
hétig	weeks
bennünk	us
tanácsot	advice
érzik	feel
gyermeke	children
főiskola	college
amiből	which
költség	cost
képzett	qualified
ezeken	these
tapasztalható	observed
mindenben	everything
sebességgel	speed
doktori	doctoral
pár	par
fórumba	forum
melyre	which
nyújtanak	provide
vezetni	lead
forrása	source
veszem	I
tulajdona	property
küldése	Send
választja	choose
múzeum	museum
ennyi	so much
próbál	trying
hagyomány	tradition
tudós	scientist
fok	degree
ezüst	silver
másikra	next
fej	head
szövetségi	federal
írva	written
ellenfél	opponent
kárt	damage
javítani	Improve
regisztrálva	registered
kérdésekben	issues
módját	the way
aláírás	signature
elemi	elementary
módszerrel	Method
engedélyezett	licensed
sok	lot
munkatársa	colleague
fogalmazott	said
elhunyt	deceased
eredményét	The results of
feldolgozása	Processing
amelyből	which
emelt	raised
találkozott	met
határ	border
megfogalmazott	formulated
szőke	blonde
állítható	adjustable
rendszerrel	system
darabot	play
napvilágot	light
nőt	woman
kegyetlen	cruel
lény	being
levelező	correspondent
biztonságot	security
válaszok	Answers
sport	sports
származású	ancestry
köre	The scope
ismerjük	We know
ismerős	familiar
arab	Arabic
tudatos	conscious
irányú	-way
helyben	locally
valószínűleg	probably
filmje	movies
számolt	reported
baloldali	left-wing
mindannyian	all
érti	understand
általam	I have
teljesítése	fulfillment
kapcsolata	relationship
érezni	feel
aztán	then
találkozunk	See you
elnök	chairman
most	now
vásárolni	buy
megrendezett	held
asztali	table
élők	living
tesszük	we do
teljes	complete
csatlakozott	joined
akár	will
kedvem	I feel like
hallgatni	listen
televízió	television
kislány	little girl
férfit	man
vásárolt	bought
tábor	camp
lásd	see
egyetemen	University
csomagok	Packages
utoljára	the last time
hiszi	You think
tehetséges	talented
tavasszal	in the spring
legkésőbb	at the latest
alakja	shape
adjon	add
témákhoz	themes
fesztivál	festival
csupa	full of
listát	Close
autók	Cars
törvényes	legal
modul	Module
kérdésem	My question
melléklet	annex
szerelmi	amorous
lehetőséggel	option
euró	euro
szokatlan	unusual
sokak	many people
kiválóan	great
még	yet
amerikai	American
szabály	rule
menjen	go
legismertebb	best known
döntések	decisions
lakott	inhabited
konferencián	Conference
ipar	industry
döntése	decision
pedagógusok	educators
segített	help
eredő	resultant
belépni	access
tartok	I
engedi	let
láthatjuk	see
maguknak	themselves
gergely	gergely
érdemi	merits
felirat	subtitle
elmegy	go away
szoktak	usually
látvány	sight
soha	never
lista	list
világosan	clear
elégedett	satisfied
aligha	scarcely
magadat	yourself
otthont	home
többség	majority
ellenzéki	opposition
mostantól	It is now
kerek	wheel
szív	heart
ottani	there
kollektív	collective
máskor	another time
költségeit	costs
korszak	era
hatékonyan	effectively
doboz	box
középfokú	secondary
ajánlatot	bid
lépj	please
kimaradt	missed
használták	used
háttér	background
nevezzük	called
kísérlet	experiment
gondol	think
életünk	life
támogatását	support
feltétel	condition
bővült	expanded
legalább	at least
méghozzá	even
barát	friend
címzett	addressee
megegyezik	agree
tiszteletben	Respect
törölni	cancel
tervezi	plan
amennyit	they
bekövetkezett	occurred
mutatnak	exhibit
aludni	sleep
emberekkel	with people
iratkozz	subscribe
rendezvények	Events
véleményük	views
iskolát	school
nemigen	no Yes
bocs	sorry
másrészt	on the other hand
jogos	legitimate
nyafogók	whine
egyetemes	universal
színek	Colours
lemezt	sheet
papír	paper
megtalálni	find
meghatározza	determines
nyarán	In the summer
látogatók	Visitors
jelentőségű	Importance
ténylegesen	de facto
házak	Houses
hivatásos	professional
kórház	hospital
szolgáltatási	Services
mögötte	behind
színpadon	stage
hétköznapi	weekday
jelentek	published
kutató	researcher
működni	work
garanciával	warranty
ajánlat	bid
érni	access
ház	house
miközben	while
olimpiai	Olympic
jelentkezők	candidates
gyerekeket	children
esetenként	occasionally
vad	wild
etikai	ethical
párhuzamos	parallel
netán	maybe
hová	where
támadó	assailant
leggyakrabban	most often
meghatározni	determined
egyetlen	single
index	index
fokozott	intensified
páros	Doubles
beszélek	I'm talking about
látszólag	apparently
együttműködési	cooperation
fordítás	translation
nemsokára	soon
alkalmasak	suitable
egyrészt	on the one hand
tulajdonát	property
hivatott	intended to
macska	cat
Pentium	Pentium
fejlődését	development
szeretni	love
történetében	history
vizsgálatot	investigation
másnak	other
teljesítményű	performance
szintén	also
rendőrök	police
egységek	units
ekkora	such
bejegyzett	registered
cím	title
csoportot	groups
csinált	done
egyeztetés	reconciliation
érkeztek	arrived
szolgált	served
elmaradt	loss
szabályai	Rules
helyek	Places
folyóirat	magazine
kelljen	having
mielőtt	before
tevékenységének	activities
vágott	cut
korabeli	period
adok	I
külön	separately
külön	separately
fizet	pay
tudnám	I could
roppant	highly
ugyan	though
regény	novel
tört	broken
lánya	daughter
belépés	entry
weboldal	website
gyermeket	children
liberális	liberal
középső	middle
fordítani	paid
tipikus	typical
fájdalom	pain
lakik	live
kedve	mood
aratott	victory
apa	father
szerény	modest
látogatói	Visitors
lehetőségei	Possibilities
személyiség	personality
alapját	foundation
szünet	pause
álom	dream
alelnöke	Vice President
őszintén	honestly
elegáns	elegant
voltál	You were
régebben	formerly
Zsuzsa	Zsuzsa
arca	face
éltek	living
rendszerét	system
fal	wall
szándékosan	deliberately
ELTE	ELTE
végleg	permanently
tudatosan	consciously
vala	somehow
szerette	loved
szeretném	I would like to
határozatot	decision
itt	here
vehet	buy
negyven	forty
születik	born
Iván	Iván
növény	plant
szolgálatot	service
segítik	help
tért	returned
szomszéd	next
beruházások	Investments
építészeti	architectural
zsidók	Jews
intelligens	intelligent
gyilkos	killer
fegyveres	armed
csak	only
kérlek	please
írsz	write
problémája	a problem
eléri	reach
idejét	time
mennyiségben	quantity
magamat	myself
Magyarországra	Hungary
támad	attack
jártak	They were
oktató	instructor
moderátor	Moderator
szükségünk	we need
kereskedelem	trade
közösségek	communities
polgári	civil
eltérés	difference
ezentúl	henceforth
tengeri	maritime
sziget	island
ahova	where
főleg	especially
mindketten	both
függvényében	Depending
jelet	mark
Németország	Germany
biblia	Bible
szabályait	The rules
minta	sample
válaszol	answer
munkaügyi	labor
egyetértek	I agree
lassan	slowly
idegenforgalmi	Tourism
művészek	artists
roma	Romany
megoldásokat	solutions
lemezen	disk
békés	peaceful
megengedett	Allowed
csoportja	groups
tudósok	scientists
felvett	recorded
etnikai	ethnic
beszélgetni	talk
nélkülözhetetlen	essential
fogalom	concept
kábel	cable
színe	color
meghirdetett	published
útja	trip
MIÉP	MIÉP
szívvel	heart
áru	goods
folyton	always
matematikai	mathematical
hold	moon
erőszak	violence
írások	Writings
mindig	always
hozzáférhető	accessible
együttesen	jointly
újra	again
jele	sign
USB	USB
tessék	Pardon
emeleti	upstairs
adjuk	add
megakadályozza	prevents
kezdték	started
folyamatot	process
házasság	marriage
pedagógus	educator
játékban	game
győztes	winner
általános	general
állított	delivered
futott	heated
pillanatra	moment
teheti	do
genetikai	genetic
ahol	where
módszert	approach
fejlesztések	Developments
tavaly	last year
legnépszerűbb	most popular
őket	them
időpont	time
méltatlan	unworthy
utasításokat	instructions
sose	Never
adtam	I have
szórakoztató	entertaining
fényes	bright
reális	real
csata	battle
keresik	looking
szakértő	expert
viszony	relationship
elmondani	tell
mentes	free
előttem	me
labdát	ball
munkáltató	employer
mágikus	magical
publikus	published
bevált	Best
pécsi	Pécs
kereszténység	Christianity
fogyasztók	customers
vehetnek	allowed
bajom	my problem
csináltam	I did
viseli	bears
szerződésben	agreement
adható	be
teremtett	created
megtenni	do
Rákóczi	Rákóczi
esély	chance
teljesíteni	meet
utas	passenger
kezdete	beginning
mutatkozik	There is
küzdelem	struggle
kialakítani	develop
ügyek	affairs
néni	aunt
sátánizmus	Satanism
mennyisége	The amount
intézet	institute
jönni	come
csakhogy	only
bérleti	lease
ponton	pontoon
másokkal	others
szállítási	delivery
nemrégiben	recently
megérkezett	arrived
tudjon	learn
ismer	know
étterem	restaurant
náluk	they
körbe	round
előírások	regulations
televízió	television
ellenség	enemy
elvégezni	perform
elmélet	theory
feszültség	tension
kezdetét	beginning
ajándék	gift
senki	no one
szerencsétlen	unfortunate
eme	these
változnak	changing
már	already
nyertes	winner
hatálya	scope
máig	today
életerő	vitality
keret	frame
bejelentés	notification
díjak	charges
kettőt	two
közönséget	audience
tehető	be held
írjon	write
gyakorolt	on
nyolcvanas	Eighties
filmeket	Movies
Márton	Martin
munkában	work
előtérbe	to the fore
belőlük	them
ellenőrizd	check
személyében	in the person of
korrekt	correct
vizuális	visual
Veszprém	Veszprém
azaz	namely
szerezte	scored
szörnyű	terrible
végzik	performed
értékelése	Evaluation
percre	minutes
termelési	production
ugye	right
baja	wrong
fejében	in return
objektív	objective
érdekelne	I would be interested
kaphat	receive
jobboldali	right-sided
tanácsadó	consultant
végét	end
ugyanezt	the same
kreatív	Creative
gyártott	manufactured
szolgáltatók	service
innen	hence
esztétikai	aesthetic
vezeték	wire
rendszerbe	system
egyesek	some
parlament	parliament
városi	urban
munkára	work
különbségek	Differences
emberrel	man
találjuk	find
figyelmen	take into account
kamera	camera
rendezik	settle
nevezték	called
menü	menu
rendelt	assigned
idejében	time
finn	Finnish
komplett	complete
legközelebbi	next
szélén	selenium
igazságot	truth
egyforma	uniform
mindenekelőtt	first of all
kis	little
keményen	hard
tervet	plan
valamiért	for some reason
akadt	caught
eltérően	differently
ugyanez	The same
élet	life
izraeli	Israeli
próbálják	trying
információs	Information
sziasztok	Hi
gondosan	carefully
hallott	heard
gyakrabban	more often
fórumok	Boards
akinek	whose
ellenőrzése	Check
tisztelettel	reverence
levegőt	air
történtek	occurred
azokban	in
filozófiai	philosophical
egyből	immediately
gyerekeknek	Children
eseményeket	events
részeként	As part of
maradék	the rest
közzétett	published
küld	send
helyezkedik	located
tölt	spend
több	more
amatőr	amateur
remény	hope
országos	national
tegyük	place
alkalmazzák	apply
alig	barely
percet	moments
bizottsági	Commission
célokra	purposes
erdő	forest
végi	end
számolni	count
enyhén	mildly
akartak	They wanted
telefonszámon	phone
polgárok	Citizens
üzemi	utility
magányos	lonely
személyt	person
gyakorlatok	Practices
környező	surrounding
intézkedéseket	measures
megjegyzést	remark
fekete	black
képviseli	represented
tagjait	The members
honlapunk	website
helyről	location
színésznő	actress
támogatni	support
művelődési	cultural
belülről	from the inside
kiépítése	building
minthogy	than
hatodik	sixth
adódik	due
lét	life
gondolt	thought
filozófia	philosophy
sűrű	dense
kampány	campaign
munkavállalók	employee
kérelmet	application
hozzád	to you
telken	property
lelke	soul
tölteni	load
győzelem	victory
tetszőleges	optional
oldalain	sides
felvenni	pick
keresem	I'm looking for
boldogság	happiness
vállalkozói	business
tulajdonában	ownership
amelyekkel	which
amellett	besides
szíve	heart
nyelvtani	grammatical
jelentik	are
önt	you
vizsgálati	test
hulladék	waste
kívánják	wish
infrastruktúra	infrastructure
gimnázium	high school
kérelem	application
nagymértékben	largely
válhat	become
gondok	worries
nálunk	book
mértékét	degree
ajánlom	I recommend
találat	hit
mozi	movie theater
módosítani	to change
háborús	wartime
passzív	passive
tisztelt	respected
fogadni	receive
vezetnek	lead
engedélye	permission
elérése	achieve
változásokat	changes
benneteket	you
erőteljes	powerful
veszek	I
léteznek	exist
nézd	watch
növekedett	grown
üzenetek	Posts
legutolsó	latest
adódó	due
ügyet	case
térben	space
problémákkal	issues
ügyfelek	Customers
szokták	often
sátánista	Satanist
nevére	the name
képzésben	training
így	so
jutó	capita
államok	States
működés	operation
területre	area
látunk	We see
zseniális	genius
legyek	flies
formáját	shape
analóg	Analog
keresés	search
beszámoló	report
tizenkét	twelve
generációs	generation
veszély	danger
részre	sections
videó	video
teljesítménye	Performance
soros	serial
egyenként	one by one
ügyfél	client
vizsgálja	explore
sértő	insulting
történetet	story
nagyban	greatly
hatékonyabb	effective
magán	private
örökké	forever
legyünk	be
védelmet	protection
némileg	slightly
szemében	eyes
helyettes	deputy
háromszor	three times
időpontban	time
munkájának	work
számítanak	count
lapon	sheet
eredeti	original
tisztességes	fair
hiány	shortage
településen	town
társadalomban	society
németek	Germans
teremt	create
vállalkozók	Contractors
fegyelmi	disciplinary
mondván	saying,
parti	coastal
vállalta	undertook
csökkenteni	reduced
létszám	staff
hasonló	similar
dolgozom	I work
embere	man
egészségügyi	sanitary
vártam	I expected
értettem	I understood
faluban	village
miatti	due
ünnepélyes	solemn
kaland	adventure
jogait	rights
kormány	government
megállapítani	established
vonatkoznak	apply
kívánnak	wish
rendszerének	system
eszköze	tool
megbeszéléseket	discussions
ezeknek	these
miért	why
asztal	table
generálódott	generated
vállalni	to undertake
mutatni	show
benyújtani	submitted
adót	taxes
megteheti	do
támogatta	supported
jelenthet	pose
feljebb	up
téma	topic
korlátlan	unlimited
javítás	repair
megtalálhatók	found
elit	elite
milliós	million
falusi	rural
informatika	it
gombot	button
kedvezményes	preferential
tények	Facts
nézők	Viewers
példányban	copies
sors	fate
tegyen	do
követve	Following
festett	painted
tudatában	awareness
vonzó	attractive
attól	from
időtartama	The duration
lányt	girl
keresnek	looking
kategóriába	category
akarták	They wanted
ennél	more
szándékkal	Determined
irány	direction
megkapta	received
tanárral	teacher
ízben	time
koncepció	concept
teremteni	Contact
cserébe	in exchange for
tehetsz	do
alkalmat	occasion
korábban	earlier
stílusban	style
sebeztél	wounded
kifejezésére	express
fejezte	finished
hagy	let
önök	you
állapotú	Fresh
formát	shape
szeretnék	I would like to
kívülről	from the outside
tanácsadó	consultant
német	German
állampolgárok	Citizens
eszközt	tool
legalábbis	at least
szociális	social
számítani	expected
londoni	London
telek	site
változatlan	unchanged
fizika	physics
rovatunkban	Our columnist
projektek	Projects
másokat	others
fogadott	adopted
fehér	white
szubjektív	subjective
tedd	put
kapcsolatosan	in connection with
tudtunk	We could
horvát	Croatian
irodai	clerical
októberében	October
láthatóan	visibly
automata	automatic
használatos	Used
felépítése	Structure
általad	by you
szintet	level
amennyire	as far as
menet	march
kapu	gate
tán	perhaps
játszódik	takes
amelyhez	which
változatát	version
jobb	right
családban	family
nos	well
törekszik	seeks
szükségük	need
elemeket	items
karavánnak	caravan
anyaga	material
tartalmáért	contents
szabályzat	Regulations
négy	four
kapok	I get
titokzatos	mysterious
turisztikai	Tourism
hálózaton	network
különbözik	differ
dönteni	decide
televíziós	television
egyedül	alone
helyzetű	status
írják	write
csinálja	doing
uram	mister
visszatér	returns
szavakkal	the words
ellenőrző	inspection
egyházak	Churches
barokk	Baroque
időkben	times
elnevezésű	called
barátságos	friendly
alatta	under
kötni	tie
résztvevői	participants
világbajnok	World Champion
alkotások	Creations
bekezdésének	of
énekes	singer
díja	awards
szerzője	author
sora	line
láttuk	we have seen
kétféle	There are two
növelése	Increasing
forrás	source
csoportban	groups
hallgat	listen
adj	adj
egyszerű	simple
képesség	ability
hangon	voice
küldte	sent
fennálló	existing
hónapokban	months
sikere	The success
nőnek	grow
magáról	himself
jelzett	indicated
forgó	rotary
szeptember	September
fiatalember	young man
próbáljuk	try
felhasználónak	User
bölcs	wise
elkészítése	Preparation
vissza	back
szervezésében	Organised
állt	stood
válaszokat	answers
hozzák	bring
előnyben	preference
hír	news
emelte	raised
szenved	suffer
emailt	emails
megoldható	solvable
fejlesztését	development
hívták	called
karácsonyi	Christmas
használó	user
előrehaladást	progress
gyermekei	children
színpadra	the stage
világra	world
könyvtári	library
potenciális	potential
hiba	failure
kívánunk	We wish
tudat	consciousness
enyhe	slight
busz	bus
svájci	Swiss
álljon	push
valaki	someone
herceg	prince
tudnék	I could
zajló	ongoing
elképzelni	imagine
ítélet	verdict
moderátor	Moderator
időjárás	weather
alap	basis
sokkal	much
élén	at the head
sajnálom	sorry
szentlélek	Holy Spirit
tízezer	ten thousand
képzést	training
fejlesztésére	development
augusztus	August
félre	aside
inkább	rather
hangos	loud
elnökség	presidency
atya	father
terhes	pregnant
idézi	recalls
szelíd	tame
megérteni	to understand
biztosítják	provide
listán	list
zárja	close
nézi	watch
vizsgát	Exam
közbeszerzési	procurement
divat	fashion
mellesleg	by the way
gazdálkodó	business
elemei	Elements
másik	other
születtek	born
ismeretében	Knowing
mondok	I say
lakást	apartment
kilencvenes	nineteen
bajnokság	championship
részei	Parts
környezetvédelmi	Environment
bírja	stand
fogyasztás	consumption
tábla	board
igazolja	confirms
munkájában	work
hétfő	Monday
rosszat	wrong
eldönteni	decide
központja	The center
megszületett	born
hozzászólás	Posts
ellátó	provider
matematika	mathematics
idáig	so far
dolognak	thing
tükrözi	reflects
privát	Private
következőket	following
folytatása	Continue
elkezdett	begun
utóbb	later
kedvelt	favorite
beruházási	investment
világi	secular
élményt	experience
fogad	bet
ismerek	I know
rendezvényen	event
edzés	training
csillag	star
érdeke	interests
adminisztrátor	administrator
csökkentése	Reduction
eredménnyel	results
szerencse	fortune
korántsem	by no means
igyekezett	tried
Eötvös	Eötvös
igazat	truth
idézett	quoted
összegét	The amount
világhírű	world-famous
órában	hours
elveszett	lost
adatvédelmi	Data Protection
értékesítési	Sales
láthatók	shown
London	London
előkészítő	preparatory
regisztrálnod	sign up
órára	hours
jegyet	tickets
gondolják	thought
képező	forming
hát	back
hármas	triple
jelentést	reports
előforduló	occurring
elv	Principle
elvégzése	completion
tanító	teacher
nevén	known
kerti	garden
előttünk	ahead
hátul	Tires
használatának	use
nagyon	very
média	media
vki	sy
este	evening
érzed	feel
kénytelenek	forced
időközben	meanwhile
felhasznált	used
ellenzék	opposition
kutyák	dogs
képessége	ability
rendez	organize
megjelenését	appearance
lakói	residents
lakások	homes
kert	garden
emiatt	therefore,
gondolkodni	thinking
tanítás	teaching
szövege	The text
nyer	win
névnapok	name days
gyengébb	weaker
eleinte	initially
alkalmazását	application
órával	hours
tanulási	Learning
lenyűgöző	amazing
hatások	Effects
biztosítva	ensuring
színpadi	theatrical
integráció	integration
óvatosan	cautiously
közvélemény	public opinion
járunk	We are
tematikus	thematic
legtöbbet	most
lehetünk	We can
egyetemi	university
évtized	decade
céget	firm
felhasználónk	users
anno	anno
intézményben	institutions
meglepetés	surprise
jeles	outstanding
tudjátok	you know
darabig	while
figyelem	attention
milliárd	billion
költségeket	costs
gyár	factory
gondolsz	thinking
hangok	Tones
leírás	description
felvétele	Recording
hat	six
terheli	charged
ellátása	supply
nézem	watch
kidolgozása	Developing
áldozat	sacrifice
csatlakozni	join
mennyiség	quantity
kár	damage
perccel	minutes
puha	soft
interaktív	interactive
szerződések	Treaties
kevéssé	little
táj	landscape
adtál	You have given
fegyver	weapon
jelszó	password
talaj	soil
közoktatási	Public Education
mindaddig	as long
útjára	launched
letölteni	Download
alapokon	Funds
magatartás	conduct
könyveket	ebooks
hacsak	unless
elnézést	excuse me
kereső	finder
kérdéses	in question
ellenben	however,
hosszan	hold
Dezső	Dezso
hatalmi	power
beszéltem	I talked to
színvonalas	high quality
kiadások	expenditures
elérhetővé	available
sorok	Lines
erejéig	up to
zavaró	annoying
barátok	Friends
elkerülése	avoid
fórumba	forum
stúdió	studio
középiskolai	High School
enged	let
baba	baby
arcát	face
csinos	pretty
véres	bloody
nyomás	pressure
írták	written
elteltével	After
bővebben	more
páratlan	unmatched
rejlik	lies
megállapítása	findings
indítani	launch
pénzügyi	financial
szegedi	Szeged
kereslet	demand
jövedelem	income
rendelkezett	ordered
órák	Watches
környezetet	environment
nevezni	called
kedvezmény	discount
érő	force
helyszíni	on-site
formai	Formal
különben	or else
bizonyos	some
érezzük	feel
funkciót	feature
szezon	season
csendben	silently
banki	bank
kéz	hand
túl	too
szent	saint
készíti	prepares
bővebben	more
növelni	increase
nyomokat	clues
szíves	kind
pályázatokat	Applications
dolgoztak	worked
váltott	changed
követelményeknek	requirements
merült	occurred
nehéz	difficult
harcos	warrior
mindent	everything
kifejlesztett	Developed
pap	priest
összességében	overall
paradicsom	tomato
vidéken	countryside
építése	Building
vallja	says
lába	legs
tej	milk
közalapítvány	foundation
súlyosan	heavily
népesség	population
mondanak	they say
megszerzett	acquired
dobozt	box
megállapította	found
intézett	sent
olvasók	Readers
évekig	years
őket	them
újságíró	journalist
viszonyítva	relative
tánc	dance
mondjam	speak
kutyát	dog
szervez	organize
használta	used
bátor	brave
részleteket	details
közli	communicate
környezetvédelem	environmental Protection
párizsi	Parisian
mindenképp	by all means
olvasd	Read
azáltal	by
rendőri	police
válasz	answer
hinni	believe
fővárosban	capital
titeket	you
szóltak	said
mindazt	everything
játéka	play
jellege	Nature
feladatait	duties
rendet	order
rom	ruin
többé	more
kevésbé	less
funkciók	Features
szerkezeti	structural
napról	day
félek	I'm afraid
másnap	the next day
háttérben	background
győri	Győr
sztem	sztem
állás	job
tervezési	design
írom	I am writing
szemem	eyes
évtizedek	decades
szerkezete	Structure
előtt	before
kezelhető	manageable
vacsora	dinner
jelen	present
megjelentek	published
tudást	knowledge
díját	Award
vas	iron
hegyek	mountains
hetet	week
élőben	live
célból	end
túlzott	excessive
elbeszélgetéseket	interviews
bemutatja	presents
egészségi	health
közösség	community
kávéra	Coffee
drámai	dramatic
közúti	road
romák	Roma
másoknak	others
örökre	forever
lépjen	contact
belépési	entry
egész	whole
indít	launch
csapatnak	team
keresse	contact
oldalát	page
művet	work
versenyzők	Contestants
szabó	tailor
hangját	voice
legutóbb	recently
részek	sections
nagyszabású	monumental
tizenöt	fifteen
lehetsz	you can be
oldal	page
mozgó	moving
előbb	before
utóbb	later
hogy	that
tervei	plans
többit	others
mentünk	We went
alak	form
élve	alive
nevezi	calls
kialakítását	creation
okot	reason
minősített	qualified
király	king
szerb	Serbian
gróf	earl
Bartók	Bartók
fényt	light
következô	next
kórházi	hospital
tanszék	Department
hogyan	how
kapcsolatokat	contacts
felnőttek	adults
nevelési	educational
emeli	increase
őrült	crazy
utasítás	instructions
megszerzése	acquisition
rengeteg	a lot of
célokat	goals
vágy	desire
előnyös	advantageous
javasolja	Recommends
távolság	distance
kifejezést	phrase
kezdődő	starting with
képzelni	imagine
boldog	happy
csoportos	group
ünnep	holiday
mindegyike	each
azután	after
kört	round
mindkettő	both of them
ügyekben	matters
várta	expecting
igyekeznek	seek
pénzért	Money
százalékot	percent
kormányt	Government
magasan	highly
másra	anything else
végeztek	conducted
Lukács	Luke
kérésére	At the request of
szépség	beauty
szívem	my heart
keletkezik	created
levegőben	in the air
tiltott	forbidden
felelte	said
életpont	Life points
lejárt	expired
épületben	building
bemutatta	unveiled
műsort	program
mezőgazdaság	agriculture
vizsgálni	tested
sztár	star
forrásból	resources
regionális	regional
garancia	warranty
asztalra	table
mutatták	shown
okozó	causative
érted	for you
színben	colors
objektum	object
különösebb	special
összegű	sum
mutatkozott	There was
megbízott	trustee
visz	carry
illetve	and
történetének	history
kanadai	Canadian
ered	originate
halálra	to death
hatalmat	power
rendelkezések	provisions
nyelvek	Languages
teára	tea
titok	secret
hal	fish
váratlan	unexpected
ősz	autumn
konkrétan	specifically,
adatlapjai	Sheets
dolgoztam	I worked
jelentősebb	major
stílusú	style
legelső	first
lépnek	enter
őszén	In autumn
viták	debates
mármint	I mean
mélyebb	deeper
nyerni	to win
értékelés	assessment
evangélikus	Lutheran
aznap	the same day
cégünk	Our company
küzd	struggle
partnerek	Partners
hónapon	month
nyers	raw
évében	Year
szektor	sector
belépve	Active
deák	scribe
elvek	principles
részleges	partial
munkavállaló	employee
meddig	how long
megteremtése	Creating
állapítja	finds
szia	Hello
vízbe	water
szabályozza	regulated
helyszín	location
autó	car
maximálisan	maximally
vak	blind
melegek	gays
okozza	causes
mehet	go
egér	mouse
verzióját	version
közlemények	releases
hajtott	driven
már	already
hívni	to call
tonna	ton
megmarad	remain
sokszor	often
vicces	funny
forintra	HUF
teszünk	we do
eredményeképpen	result
mik	what
módszertani	Methodological
klinikai	clinical
kezdenek	begin
tovább	further
sebzést	damage
adódóan	Given
forintért	HUF
erősítő	amplifier
reméljük	hope
számla	bill
elemzés	analysis
birodalom	realm
családja	family
esztendő	year
jellemzői	Features
számmal	number
kiállításon	exhibitions
sokat	lot
hozzájárul	contribute
végképp	utterly
számol	count
fórumon	forum
világbajnoki	World Championship
Vilmos	William
pláne	especially
nemzetiségi	Minorities
milyen	what
újdonság	novelty
kerületben	District
köztársasági	republican
használhatók	can be used
munkahelyi	workplace
együttműködést	cooperation
programját	program
