být	be
bezpečí	safety
dokazovat	argue
modlit se	pray
vlk	wolf
legrace	fun
Peter	Peter
půjčka	loan
stáří	age
štíhlý	slim
vpravo	right
záhy	soon
odvolání	appeal
účetní	accountant
užívání	usage
nejenom	not only
hezky	nicely
oblouk	arch
porovnání	comparison
spotřebitel	consumer
iluze	illusion
uzavírat	conclude
postoupit	to advance
zopakovat	repeat
lákat	lure
strýc	uncle
doopravdy	really
kaplan	chaplain
třináct	thirteen
popadnout	grab
hejtman	governor
prs	breast
stisknout	press
automobilový	motor
nehet	fingernail
kývnout	nod
ukázka	Sample
konkurs	bankruptcy
kníže	prince
roztok	solution
přeložit	translate
spokojenost	satisfaction
ubohý	wretched
schůze	meeting
bezprostřední	close
strhnout	tear down
pokračování	sequel
poslanecký	deputy
čert	devil
čili	or
jedinečný	unique
rajče	tomato
zdarma	free
konto	account
logika	logic
opravit	fix
frekvence	frequency
náhodný	random
pouštět	run
králík	rabbit
seminář	workshop
křižovatka	intersection
plech	sheet
ocel	steel
meč	sword
pardubický	Pardubice
kabina	cabin
kanada	Canada
regulace	regulation
sukně	skirt
téci	flow
kulatý	round
Rudolf	Rudolf
úleva	relief
švédský	Swedish
dlouhodobě	long term
emise	emission
paprika	pepper
složený	composite
propadnout	fail
fotograf	photographer
posunout	move
salón	salon
tunel	tunnel
večírek	party
průvodce	guide
podrobně	in detail
tah	move
skladatel	composer
budovat	construct
izolace	isolation
Novák	Novak
prášek	powder
využívání	exploitation
hospodaření	economy
prapor	ensign
tvrdě	harshly
desátý	tenth
napadat	challenge
zlomit	break
častě	often
nula	zero
panovat	reign
prezentovat	present
radikální	radical
úraz	accident
pořadatel	organizer
středověký	medieval
chudák	wretch
n	n
stížnost	complaint
záchranný	rescue
svědectví	witness
pata	heel
přesunout	move
vyslat	dispatch
vyslechnout	hear
hůl	staff
kopie	copy
střelec	shooter
koš	basket
H	H
profese	profession
vsadit	wager
náhradní	substitute
hokej	hockey
listina	list
stařec	old man
producent	producer
tragický	tragic
vklad	deposit
ohlásit	announce
transakce	transaction
věznice	jail
bít	beat
dbát	heed
kompletní	complete
software	software
hmyz	insects
osamělý	lonely
záchrana	rescue
právnický	legal
inteligentní	intelligent
pochod	march
cela	cell
únava	fatigue
vtom	in it
zjevně	evidently
doprovod	accompaniment
bilance	balance
zklamat	disappoint
ohrožení	threat
ohrožovat	threaten
kat	hangman
zásadně	basically
povídka	story
manželský	married
vnímání	perception
myš	mouse
Mary	Mary
potěšení	pleasure
napřed	first
tajemný	mysterious
hájit	defend
jídelna	dining room
prezidentský	presidential
had	snake
mlčky	silently
prodejní	sales
kolektivní	collective
rozhlas	radio
přestěhovat	move
klinický	clinical
špičkový	top
následně	then
pusa	kiss
teoretický	theoretic
psací	Writing
dusit	suffocate
rozhlédnout	look around
Jaromír	Jaromír
okamžitý	instant
maďarský	Hungarian
Joe	Joe
šedivý	gray
dovednost	skill
znalec	expert
Ludvík	Lewis
stráž	guard
převést	Convert
odstranění	removal
schéma	scheme
Homer	Homer
lov	hunting
personál	staff
platba	payment
výtah	elevator
and	and
Austrálie	Australia
společník	companion
parlamentní	parliamentary
porod	childbirth
profil	profile
rozšiřovat	circulate
odpovědný	responsible
přenášet	transfer
obžalovaný	defendant
medvěd	bear
sledování	observation
určení	designation
James	James
komplikace	complication
předvádět	parade
komunita	community
nápadně	noticeably
nejistota	uncertainty
mýlit	wrong
slovensko	Slovakia
udělit	grant
výzkumný	Research
koření	spices
pociťovat	feel
puška	rifle
primární	primary
rodit	bear
rezerva	reserve
balík	package
vypravit	dispatch
játra	liver
dodržovat	follow
otevření	opening
arabský	Arabic
čtvrtina	quarter
hádat	guess
oženit	marry
švýcarský	Swiss
luxusní	luxury
úrokový	Interest Rate
předstírat	feign
klinika	clinic
polní	field
poslání	mission
trůn	throne
krásně	beautifully
automatický	automatic
zasahovat	encroach
působnost	activity
uznávat	acknowledge
nakupovat	buy
sdělení	communication
teroristický	terrorist
londýnský	London
prodejce	vendor
úřední	official
vagón	wagon
IV	IV
péci	bake
sobotní	Saturday
coby	what would
použitý	used
laskavý	kind
stabilní	stable
ozývat	reverberate
rozběhnout	run
tyč	rod
upravený	adapted
cizina	foreign countries
lord	lord
pokladna	box office
pršet	rain
objektivní	objective
redaktor	editor
kohout	rooster
světelný	light
terorista	terrorist
vděčný	thankful
vývoz	export
písemný	written
štít	shield
papírový	papery
radovat	rejoice
alternativa	alternative
motivace	motivation
obzor	horizon
krvavý	bloody
priorita	priority
koupě	purchase
jed	poison
perspektiva	perspective
zamilovat	love
spáchat	commit
Japonec	Japanese
zaměření	focus
pochyba	doubt
vyznačovat	distinguish
Jihlava	Jihlava
opatřit	provide
tekutina	fluid
výslech	interrogation
irácký	Iraqi
přejet	run over
rukáv	sleeve
rýže	rice
emoce	emotion
související	Related
spoléhat	rely
licence	license
odkaz	link
zářit	shine
kyslík	oxygen
vskutku	indeed
zacházet	treat
stánek	stand
metrum	meter
peněžní	cash
svíčka	candle
kapitálový	capital
přibýt	accrue
dovoz	import
obejmout	hug
půjčit	lend
všední	everyday
jízdní	mounted
trávník	lawn
vynořit	emerge
vystavovat	exhibit
komentář	comment
medicína	medicine
zvukový	audible
mýtus	myth
zpravodajský	News
zastávat	stand
jednoznačný	clear
odrůda	variety
rozlišovat	distinguish
hřbet	spine
upřímný	honest
sdílet	Share
pozorování	observation
zřídka	rarely
výborně	great
zaútočit	attack
bezprostředně	immediately
nabýt	acquire
zakladatel	founder
historka	story
omlouvat	apologize
protivník	adversary
Jindřich	Henry
karlovarský	Carlsbad
koneckonců	after all
operátor	operator
poranění	injury
střet	clash
drsný	rough
jakožto	as
porušit	violate
pach	odor
pohlavní	sexual
sporný	controversial
ves	village
uchopit	grasp
přidávat	add
vyvést	Remove
ďábel	devil
osmdesát	eighty
provozovatel	operator
vypovídat	testify
dobro	good
éra	era
běhat	run
záplava	flooding
prezentace	Presentation
vykazovat	exhibit
převod	transfer
oddělit	separate
vitamín	vitamin
zakládat	post
bejt	Beit
čeština	Czech
pronikat	permeate
prevence	prevention
recept	recipe
hračka	plaything
servis	service
vedený	led
brambor	potato
miláček	sweetheart
navazovat	continue
koule	globe
křehký	brittle
oblak	cloud
William	William
nervový	nervous
vylučovat	secrete
dojet	reach
křesťan	Christian
konkrétně	concretely
jihočeský	jihočeský
pálit	fire
poklad	treasure
minout	overpass
mletý	ground
prsten	ring
dobrodružství	adventure
papež	pope
vyrovnaný	balanced
terapie	therapy
Gross	Gross
Charles	Charles
usoudit	infer
všeobecně	universally
ideál	ideal
mírový	Peace
pracující	working
bojový	fighting
civilní	civil
kdesi	where are you
ležící	lying
spektrum	spectrum
uznání	recognition
postrádat	lack
energetika	energetics
manipulace	manipulation
udeřit	strike
dialog	dialogue
Telecom	Telecom
opatrný	cautious
zbylý	residual
limit	limit
nasazení	use
rozpaky	embarrassment
rám	frame
sehrát	play
inteligence	intelligence
Hitler	Hitler
loket	elbow
odpůrce	respondent
poslechnout	listen
vytvořený	created
podléhat	be subject to
Švédsko	Sweden
originální	original
Kristus	Christ
pozorně	attentively
šířka	width
keř	bush
Polák	Pole
Bratislava	Bratislava
hlasovat	vote
minimum	minimum
řemeslo	craft
odjíždět	leave
bankovka	banknote
porce	serving
příznivec	well-wisher
vzdělávací	educational
záliv	gulf
zatížení	load
posuzovat	judge
plavat	swim
hlína	clay
stěží	barely
mrzet	vex
sňatek	marriage
atraktivní	attractive
sídliště	housing estate
uplynout	elapse
infrastruktura	infrastructure
Stalin	Stalin
hudebník	musician
statistický	statistic
báze	base
major	major
uchazeč	applicant
narozený	born
alternativní	alternative
skončení	completion
ČEZ	CEZ
normálně	normally
protestovat	protest
vonět	smell
významně	significantly
posvátný	sacred
mlýn	mill
otáčet	rotate
tvor	creature
barokní	baroque
citronový	Lemon
námitka	objection
řetěz	chain
upravovat	edited
ekonom	economist
koncern	concern
Max	Max
sestavit	assemble
záloha	backup
mládě	cub
obliba	popularity
osada	settlement
podzimní	autumnal
posoudit	judge
měsíčně	per month
prohlašovat	claim
chod	run
usednout	sit down
dozadu	backwards
Filip	Philip
unést	abduct
trpělivě	patiently
zahrnout	include
anglicky	English
havárie	crash
sedmdesátý	seventieth
čtvrtletí	quarter
filozof	philosopher
kdepak	bloody likely
uvařit	cook
Žid	Jew
rádio	radio
tajit	concealing
poznávat	recognize
sundat	take down
reprezentant	representative
rozjet	ramp
dostavit	arrive
experiment	experiment
padesátý	fiftieth
železnice	railway
integrovaný	integrated
tank	tank
závazný	obligatory
citovat	quote
skandál	scandal
zmínka	mention
přelom	turn
vyhovět	comply
zčásti	partly
proboha	for heaven's sake
rytíř	knight
vstávat	rise
lokální	local
dvojí	dual
náplň	filling
příčka	partition
Vltava	Vltava
pot	sweat
odvrátit	divert
probrat	talk over
vyšetřovat	investigate
postižení	infliction
příjemně	pleasantly
hradba	wall
kód	code
rumunský	Romanian
van	van
dej	give
přinutit	force
Thomas	Thomas
ověřit	check
trefit	hit
vzkaz	message
parkoviště	parking lot
výživa	nutrition
omluvit	excuse
plochý	flat
Sofie	Sofia
pokrýt	cover
východisko	starting point
osmdesátý	eightieth
vývar	broth
molekula	molecule
opoziční	opposite
schránka	mailbox
cca	ca.
dík	thanks
riskovat	risk
pasus	pasus
jmenovaný	nominative
rakovina	cancer
benzín	gasoline
ponorka	submarine
Egypt	Egypt
chůze	walk
intenzita	intensity
mlčení	silence
trénovat	train
částice	particles
námaha	exertion
věčně	forever
zadívat	gaze
zklamání	disappointment
strava	diet
herecký	theatrical
zabíjet	killing
řízený	directed
slovník	dictionary
hnízdo	nest
ateliér	studio
referendum	referendum
šperk	jewel
ohledně	regarding
zpravodajství	coverage
srážka	crash
únik	leak
zvolený	elected
chlapík	guy
podniknout	undertake
mravní	moral
USD	USD
Albert	Albert
pouť	pilgrimage
strýček	uncle
vážený	honorable
vyběhnout	run out
lavička	bench
náznak	hint
legislativa	legislation
polibek	kiss
Krist	Krist
demonstrace	demonstration
zastávka	stop
děda	Grandpa
odstup	spacing
sad	park
řvát	scream
Rom	Gypsy
rozhlasový	wireless
ucítit	feel
hrnec	pot
genus	genus
klec	cage
obočí	eyebrows
lupič	robber
stojící	standing
kongres	congress
protáhnout	stretch
formát	format
obojí	both
průvod	parade
tabule	blackboard
sedmdesát	seventy
stíhat	pursue
zajet	run
leč	however
kotel	boiler
mříž	grille
namísto	instead
plést	weave
webový	Web
elegantní	elegant
pestrý	colorful
sevřít	clench
Kladno	Kladno
zoufale	desperately
dílčí	sectional
hněv	anger
odjezd	departure
řez	cut
sir	sir
Ford	Ford
Oldřich	Oldrich
morálka	morality
Řecko	Greece
pódium	podium
semeno	seed
vzdělaný	educated
tý	you
vyrůstat	grow
poděkovat	thank
sklonit	bow
uzavření	closure
vývojový	developmental
zásilka	consignment
melodie	melody
bytí	being
ovzduší	air
skromný	modest
volant	steering wheel
předcházet	prevent
ruch	rush
zátěž	ballast
inspirovat	inspire
půlka	half
shodnout	agree
ústecký	Usti
zakrýt	cover up
přesnost	accuracy
navždy	forever
růže	roses
byznys	business
objednávka	order
opora	support
vada	defect
čepice	hat
impuls	impulse
oltář	altar
horko	hot
dosah	reach
báječný	yummy
Horní	Upper
organizovaný	organized
orientovat	orientate
africký	African
odebrat	take
působící	acting
zábavný	fun
hnout	move
vzrušení	thrill
železo	iron
číšník	waiter
křik	outcry
ublížit	hurt
vana	bathtub
důchodce	pensioner
kanadský	Canadian
kolečko	wheelbarrow
ocenění	appreciation
odvážit	weigh out
namítnout	protest
SNB	SNB
hubený	thin
vlhkost	humidity
převaha	preponderance
vydělávat	earn
přitáhnout	tighten
dělo	cannon
předčasný	premature
otvírat	opening
početný	numerous
putovat	wander
spolkový	federal
zachování	conservation
plánování	planning
osvětlení	lighting
sekunda	second
létat	fly
posloužit	serve
služební	Business
trpělivost	patience
grafický	graphic
federace	federation
vstříc	meet
nadace	foundation
celkově	overall
sluchátko	earphone
dobrovolný	voluntary
Emil	Emil
vykonat	perform
specialista	expert
chodec	walker
ošklivý	ugly
stadium	stage
dynamický	dynamic
úrok	interest
záchvat	seizure
dnešek	today
konzervativní	conservative
vydaný	issued
nebeský	heavenly
přivítat	welcome
splňovat	fulfill
vrata	gate
chytat	catch
obsluha	operation
věřitel	creditor
vyhnat	expel
garáž	garage
smetana	cream
žíla	vein
faktum	FAKTUM
plakát	poster
srovnatelný	comparable
mnich	monk
farář	parson
polštář	cushion
strašlivý	dreadful
horečka	fever
krást	thieve
zoufalství	despair
ČSN	CSN
řadit	shift
slovní	verbal
sídlit	reside
nabývat	acquire
vznášet	float
zkoumání	exploration
ČSSR	CSSR
prestižní	prestigious
prkno	board
přiměřený	adequate
skalní	rock
krám	shop
pronásledovat	chase
hruď	chest
lebka	skull
aliance	alliance
vyznat	profess
zázemí	rear
kamarádka	friend
volno	off
smířit	reconcile
předchůdce	predecessor
přitisknout	impress
zadek	buttocks
tužka	pencil
koncept	draft
kroužek	ring
etický	ethical
Vary	Vary
nesmírně	immensely
ocas	tail
soukromí	privacy
vézt	carry
shrnout	recap
urazit	offend
sklenička	glass
marka	mark
Rumunsko	Romania
spokojit	settle
Teplice	Teplice
třicátý	thirtieth
identita	identity
příjezd	arrival
skvěle	great
lovec	hunter
nitro	heart
oblečený	dressed
pozdrav	greeting
soudruh	comrade
předběžný	preliminary
vyjmout	remove
horizont	horizon
motorový	power
shánět	hunt for
smírně	amicably
pomocný	assistant
týdně	weekly
kladný	positive
rozvojový	developing
vyhledat	search
řádný	proper
přesahovat	exceed
provdat	marry
univerzální	universal
dres	jersey
kompetence	competence
publikovat	publish
palestinský	Palestinian
estetický	esthetic
distribuce	distribution
směšný	ridiculous
zastupovat	represent
náležet	belong
sjezd	downhill
akutní	acute
panel	panel
Opava	Opava
etika	ethics
interní	internal
shodovat	agree
slušet	suit
revoluční	revolutionary
svírat	clutch
uzel	node
fotka	photo
kuře	chicken
Mnichov	Munich
dědictví	heritage
dodržování	compliance
mše	service
to	it
Věra	Vera
systémový	systemic
božský	divine
lidovec	Christian Democrat
milenka	mistress
milovaný	beloved
komunální	communal
psaný	written
MS	MS
vzdálit	leave
zazvonit	ring the bell
kouzelný	Magical
propast	abyss
naložit	load
shromáždit	gather
překvapivě	surprisingly
Frank	Franc
hovězí	beef
transformace	Transformation
zmiňovat	alluding
počáteční	initial
srdeční	heart
komunikovat	communicate
zánik	extinction
zřetelný	clear
odpočinek	relaxation
zaskočit	focus
lídr	leader
hrana	edge
plout	sail
porozumění	understanding
rizikový	hazardous
detektiv	detective
pedagogický	pedagogic
Příbram	Pribram
vyučování	tuition
aplikovat	apply
Turecko	Turkey
absolvent	graduate
farma	farm
šílenství	madness
doktorka	Doctor
gólman	goalie
nebesa	Heavens
pohon	drive
zvyšování	increasing
podnikat	business
marný	futile
dotyčný	in question
ochotně	willingly
design	design
stehno	thigh
odmlčet	pause
KSČM	KSČM
popel	ash
rádium	radium
vídeňský	Viennese
Čapek	Čapek
připojení	connectivity
listí	Leaves
celní	customs
HDP	GDP
počít	conceive
Slovák	Slovak
přibývat	grow
nikam	nowhere
podrobit	undergo
symbolický	symbolic
plus	plus
raketa	rocket
zavraždit	murder
pokrm	dish
Viktor	Viktor
přistát	land
identifikovat	identify
past	trap
posun	shift
automobilka	car factory
chvět	quiver
poskytování	provision
psycholog	psychologist
skupinka	cluster
menšina	minority
opakovaně	repeatedly
přibližovat	draw near
rozkoš	delight
turecký	Turkish
zkušební	probationary
aparát	apparatus
komplikovaný	complicated
splnění	fulfillment
bojovník	fighter
uspokojení	satisfaction
foto	Photo
náruč	armful
zákrok	intervention
komunismus	Communism
trojice	threesome
orientovaný	oriented
administrativní	administrative
klavír	piano
muzika	music
neúspěch	failure
rakev	coffin
racionální	rational
anketa	survey
fungování	functioning
rozpočtový	budgetary
slabost	weakness
zvědavý	curious
interval	interval
otřást	shake
databáze	database
plynový	gas
projíždět	drive through
cílový	target
životnost	service life
upřesnit	specify
vysočina	highlands
fenomén	phenomenon
legendární	legendary
newyorský	New York
potrestat	punish
zavěsit	hang
hřeben	crest
provedený	executed
deficit	deficit
personální	Human Resources
provincie	province
zodpovědnost	responsibility
vyhlídka	outlook
N	N
úkon	act
autorský	author's
každoročně	annually
něžný	affectionate
opakovaný	repeated
sako	jacket
firemní	business
spokojeně	happily
pneumatika	tire
prodloužit	extend
krabička	box
potvrzení	confirmation
zdržet	abstain
Belgie	Belgium
modernizace	modernization
pozdravit	greet
soustředění	concentration
těžba	extraction
stres	stress
dokola	round
lesklý	bright
mise	mission
rozsvítit	switch on
Aleš	Ales
čerpat	draw
kostým	costume
zemědělec	farmer
dobový	period
smůla	bad luck
vytrhnout	rip
korupce	corruption
šťastně	happily
Temelín	Temelin
spolužák	classmate
tahat	pull
nositel	bearer
sedmnáct	seventeen
liberální	liberal
rozejít	break
svatební	wedding
vyhlášení	promulgation
doplněk	supplement
přijíždět	arrive
pětadvacet	Twenty-five
zábradlí	railing
umístěný	situated
kuchyňský	cooking
Boleslav	Boleslav
čistota	cleanliness
terasa	terrace
akademický	academic
organický	organic
vrhat	throw
zralý	mature
mnohokrát	many times
Tommy	Tommy
var	boiling
balkón	balcony
náprava	rectification
logistika	logistics
moudrost	wisdom
mrkev	carrot
sedlo	saddle
unikátní	unique
osvobodit	liberate
císařský	imperial
členství	membership
páska	tape
autorka	authoress
honit	chase
lano	rope
Masarykův	Masarykův
reprezentovat	represent
vdova	widow
zvažovat	weigh
zvon	bell
Ray	Ray
vyčítat	reproach
formulovat	formulate
Ital	Italian
mládenec	youngster
chlad	coldness
jakož	and
nájemné	rent
stvoření	creation
Jugoslávie	Yugoslavia
pivovar	brewery
zánět	inflammation
vlajka	flag
evidence	records
hýbat	stir
věcný	factual
křesťanství	Christianity
romský	Gypsy
záchod	toilet
nervózní	nervous
víčko	cover
Jablonec	Jablonec
zlínský	Zlin
obdiv	admiration
produktivita	productivity
Zuzana	Zuzana
bílkovina	protein
odvážný	courageous
absolutně	absolutely
okénko	window
půvabný	lovely
hotovost	cash
atom	atom
krém	cream
ohlédnout	look back
budování	building
přepadnout	swoop
šeptat	whisper
šňůra	cord
ujít	miss
pokožka	skin
deprese	depression
otrok	slave
zřízení	establishment
vrch	hill
aféra	affair
legální	legal
nevěsta	bride
vystřelit	fire
Los	Moose
rozbor	analysis
příště	next
stádo	herd
stříbro	silver
šíření	spreading
Beneš	Benes
intelektuální	intellectual
show	show
hlavička	header
bakterie	bacteria
citový	emotional
dokončení	completion
zavírat	close
odpočívat	rest
inovace	innovation
kilogram	kilogram
ruční	hand
zaujímat	cover
vzpamatovat	recover
reflex	reflex
zločinec	felon
Julie	Julia
hele	hey
mandát	mandate
vyložit	unload
léčení	treatment
náboj	charge
vzestup	rise
sledovaný	watched
samec	male
zavázat	tie
porozumět	understand
zaměstnávat	employ
Sam	Sam
zapojení	involvement
zpracovávat	handle
barák	barrack
f	F
přípravek	preparation
St	St
inspirace	inspiration
KDU-ČSL	KDU-ČSL
poctivý	honest
pojmenovat	name
rituál	ritual
fasáda	facade
chytnout	catch
rozložit	spread
definitivní	final
otevřeně	openly
spadat	fall
fantastický	fantastic
zdržovat	restrain
dočasný	temporary
promíchat	mix up
zastoupení	representation
aha	I see
Alena	Alena
Dolní	Lower
smíchat	mix
odvětit	rejoin
hit	hit
pasáž	passage
finančně	financially
záhada	mystery
zprvu	initially
Mexiko	Mexico
výcvik	training
vkus	taste
krýt	cover
disponovat	dispose
katedrála	cathedral
maličký	little
ničit	destroying
obětovat	sacrifice
jasno	clear
předpokládaný	supposed
zahrádka	garden
varování	warning
magnetický	magnetic
těhotenství	pregnancy
zelí	cabbage
jinam	elsewhere
porota	jury
zodpovědný	accountable
Street	Street
telekomunikační	Telecommunications
vzorec	formula
genetický	genetic
vyplnit	fill
výtvarník	artist
posypat	sprinkle
poválečný	postwar
sociálně	socially
opak	opposite
pěšky	on foot
stáj	stable
telefonovat	telephone
málokdo	hardly anybody
přechodný	transitory
zdobit	Dress Up
stvořit	create
Angličan	Englishman
socialismus	socialism
komponenta	component
hm	hm
nástupce	successor
posilovat	strengthen
provádění	implementation
předávat	forward
pohotovost	alert
diagnóza	diagnosis
palma	palm
strážce	watchman
nadšený	enthusiastic
střevo	intestine
zavazadlo	luggage
ČNB	CNB
lámat	break
učebnice	textbook
vybavený	equipped
bariéra	barrier
kroutit	writhe
poukazovat	pointing
prima	groovy
zahradní	garden
natáčení	shooting
vesměs	mostly
muzikál	musical
odstín	hue
volání	call
přistupovat	access
uherský	Hungarian
honem	come on
ložisko	bearing
pila	sawmill
jakost	quality
transport	transport
produkovat	produce
užití	use
jmění	fortune
prsa	breast
záhadný	light
bída	terrorist
nádobí	thankful
krátkodobý	export
křivka	written
lít	shield
žánr	papery
mávat	rejoice
pátrání	alternative
řádně	motivation
hlášení	horizon
kosmický	bloody
podřízený	priority
pověřit	purchase
Oskar	poison
sportovec	perspective
vznešený	love
drak	commit
prozatím	Japanese
středověk	focus
Bank	doubt
přehrada	distinguish
jehla	Jihlava
Kamil	provide
stávka	fluid
uvedení	interrogation
rozpoznat	Iraqi
archiv	run over
obtěžovat	sleeve
vzdušný	rice
zamyslet	emotion
pozorovatel	Related
vyhledávat	rely
zvěř	license
kamna	link
obří	shine
hotelový	oxygen
psí	indeed
radostný	treat
vykročit	stand
dobrovolně	meter
nepříliš	cash
míjet	candle
nahlédnout	capital
obsahující	accrue
kytara	import
baron	hug
dlouholetý	lend
med	everyday
momentálně	mounted
posílení	lawn
návod	emerge
cihla	exhibit
pluk	comment
samostatně	medicine
smíšený	audible
kolonie	myth
kořist	News
otisk	stand
robot	clear
shodný	variety
knoflík	distinguish
automat	spine
duel	honest
kvalifikovaný	Share
napjatý	observation
vévoda	rarely
gotický	great
nádor	attack
očistit	immediately
placený	acquire
povrchový	founder
příhoda	story
cvičit	apologize
devadesát	adversary
ozdoba	Henry
pomocník	Carlsbad
svést	after all
uprchlík	operator
obranný	injury
rozvinout	clash
tisíciletí	rough
vesele	as
marketing	violate
pouto	odor
černoch	sexual
naposled	controversial
obytný	village
pomůcka	grasp
ČSOB	add
nevýhoda	Remove
pohovka	devil
břemeno	eighty
trvání	operator
česky	testify
násilný	good
vrazit	era
brigáda	run
katalog	flooding
extraliga	Presentation
rukavice	exhibit
špetka	transfer
vymýšlet	separate
dominantní	vitamin
spjatý	post
popírat	Beit
pravice	Czech
odevzdat	permeate
grafika	prevention
srovnávat	recipe
stanoviště	plaything
výjimečně	service
jednička	led
panství	potato
trubka	sweetheart
uchovat	continue
rovnost	globe
ubytování	brittle
propojení	cloud
Angeles	William
nouze	nervous
vpřed	secrete
pozemní	reach
zlomenina	Christian
Afghánistán	concretely
dutina	jihočeský
financovat	fire
hrdý	treasure
zajatec	overpass
zaměřovat	ground
matčin	ring
příliv	adventure
dělení	pope
Jordan	balanced
ovce	therapy
relativní	Gross
dluhopis	Charles
půle	infer
vlézt	universally
nosný	ideal
prase	Peace
komín	working
milovník	fighting
můstek	civil
odrazit	where are you
lípa	lying
rozhlížet	spectrum
sněhový	recognition
šetření	lack
velvyslanec	energetics
připsat	manipulation
vzdychnout	strike
zápěstí	dialogue
dívčí	Telecom
vyptávat	cautious
výstavní	residual
nalézat	limit
chutnat	use
oblékat	embarrassment
ojedinělý	frame
rozlehlý	play
vyndat	intelligence
nu	Hitler
KSČ	elbow
poučit	respondent
pozvání	listen
sleva	created
nezbytný	be subject to
tloušťka	Sweden
mozkový	original
poklesnout	Christ
vrcholný	attentively
uznávaný	width
pokrývat	bush
tajně	Pole
obchodování	Bratislava
porada	vote
rockový	minimum
skákat	craft
hloupost	leave
pauza	banknote
zasadit	serving
dopřát	well-wisher
huba	educational
námořník	gulf
oslavit	load
uvítat	judge
nářadí	swim
úmrtí	clay
vypnout	barely
antický	vex
kontejner	marriage
koutek	attractive
snižování	housing estate
zrodit	elapse
MF	infrastructure
probírat	Stalin
připomínající	musician
uložený	statistic
lovit	base
ministerský	major
rozpad	applicant
vedro	born
technik	alternative
mezera	completion
nahrávka	CEZ
vyrovnání	normally
Ondřej	protest
krb	smell
Santa	significantly
údiv	sacred
hedvábný	mill
zaručit	rotate
vládce	creature
instalace	baroque
rybář	Lemon
sjet	objection
modul	chain
odpočinout	edited
pečovat	economist
diplomatický	concern
rozesmát	Max
aktivně	assemble
don	backup
nanejvýš	cub
nit	popularity
převézt	settlement
připomínka	autumnal
narušit	judge
sakra	per month
bedna	claim
dobytek	run
metropol	sit down
muzikant	backwards
vnuk	Philip
masa	abduct
ml	patiently
Novotný	include
spálit	English
uspokojit	crash
zařvat	seventieth
hormon	quarter
terorismus	philosopher
pec	bloody likely
rekreační	cook
obsáhnout	Jew
takovýhle	radio
skládka	concealing
stop	recognize
zástup	take down
rozloha	representative
ignorovat	ramp
inspekce	arrive
taxík	experiment
ponořit	fiftieth
přihlížet	railway
Henry	integrated
promítat	tank
Radek	obligatory
Franz	quote
srozumitelný	scandal
kupodivu	mention
načež	turn
náručí	comply
tušení	partly
obrys	for heaven's sake
důstojný	knight
hladit	rise
ulevit	local
konkurent	dual
nastupovat	filling
vrtulník	partition
bible	Vltava
IPB	sweat
StB	divert
zdvihnout	talk over
programový	investigate
předkládat	infliction
rozeznat	pleasantly
vozit	wall
náskok	code
pěna	Romanian
předcházející	van
přiložit	give
spotřební	force
logicky	Thomas
Alexandr	check
obrazový	hit
ředitelství	message
sucho	parking lot
dobrá	nutrition
segment	excuse
stěhovat	flat
montáž	Sofia
vyrobený	cover
ambice	starting point
přitažlivý	eightieth
vrcholek	broth
skrýt	molecule
velkolepý	opposite
ovocný	mailbox
sekce	ca.
čekání	thanks
domovní	risk
leda	pasus
obhájce	nominative
odstoupit	cancer
slušně	gasoline
hlubina	submarine
odraz	Egypt
přesun	walk
žebříček	intensity
obtížně	silence
velení	train
Ena	particles
trosky	exertion
pedagog	forever
přihodit	gaze
zamknout	disappointment
sklenka	diet
tažení	theatrical
donést	killing
export	directed
patřičný	dictionary
věnovaný	nest
pracovna	studio
pružný	referendum
rozbitý	jewel
plavba	regarding
ryzí	coverage
různě	crash
sedlák	leak
závěs	elected
zle	guy
lítost	undertake
obklopit	moral
zeleň	USD
Olga	Albert
popularita	pilgrimage
Železný	uncle
skutek	honorable
souprava	run out
elita	bench
kudy	hint
australský	legislation
nákupní	kiss
průhledný	Krist
vepřový	demonstration
udržení	stop
najmout	Grandpa
baterie	spacing
ovládání	park
kabelka	scream
tip	Gypsy
víceméně	wireless
mocenský	feel
nadávat	pot
ó	genus
překvapivý	cage
výhrada	eyebrows
odvádět	robber
paleta	standing
temnota	congress
tričko	stretch
vypuknout	format
zhroutit	both
erotický	parade
sponzor	blackboard
disk	seventy
šátek	pursue
úvěrový	run
výsledný	however
snít	boiler
výchozí	grille
nežli	instead
provaz	weave
vcelku	Web
lokomotiva	elegant
štědrý	colorful
kombinovaný	clench
laciný	Kladno
prát	desperately
dodržet	sectional
zaměstnat	anger
nakoupit	departure
kompromis	cut
viď	sir
tlačítko	Ford
usnesení	Oldrich
zajímavost	morality
nahrazovat	Greece
stručně	podium
vypustit	seed
čerstvě	educated
rostlinný	you
pojmout	grow
popsaný	thank
umýt	bow
dobrovolník	closure
originál	developmental
zpoždění	consignment
nabrat	melody
selhání	being
vozovka	air
vzbuzovat	modest
olympiáda	steering wheel
částečný	prevent
nadchnout	rush
odolnost	ballast
páteř	inspire
zamilovaný	half
důležitost	agree
ropný	Usti
golf	cover up
nulový	accuracy
spočítat	forever
chutný	roses
moucha	business
smutně	order
ideologie	support
nadřízený	defect
nizozemský	hat
kamión	impulse
příkop	altar
důvěřovat	hot
Ivo	reach
Mikuláš	yummy
ujišťovat	Upper
výstřel	organized
natáčet	orientate
zaměstnanost	African
